.hmiAlarms.rotaryKnife.lowerKnifeCutDisabled,BOOL,,,,Var,ReadWrite,60
.hmiAlarms.slitter.knife1OutOfRange,BOOL,,,,Var,ReadWrite,61
.hmiAlarms.slitter.knife2OutOfRange,BOOL,,,,Var,ReadWrite,62
.hmiAlarms.slitter.knife3OutOfRange,BOOL,,,,Var,ReadWrite,63
.hmiAlarms.slitter.knife4OutOfRange,BOOL,,,,Var,ReadWrite,64
.hmiAlarms.slitter.knife5OutOfRange,BOOL,,,,Var,ReadWrite,65
.hmiAlarms.slitter.scorer1OutOfRange,BOOL,,,,Var,ReadWrite,66
.hmiAlarms.slitter.scorer2OutOfRange,BOOL,,,,Var,ReadWrite,67
.hmiAlarms.slitter.scorer3OutOfRange,BOOL,,,,Var,ReadWrite,68
.hmiAlarms.slitter.scorer4OutOfRange,BOOL,,,,Var,ReadWrite,69
.hmiAlarms.slitter.scorer5OutOfRange,BOOL,,,,Var,ReadWrite,70
.hmiAlarms.slitter.scorer6OutOfRange,BOOL,,,,Var,ReadWrite,71
.hmiAlarms.slitter.scorer7OutOfRange,BOOL,,,,Var,ReadWrite,72
.hmiAlarms.slitter.scorer8OutOfRange,BOOL,,,,Var,ReadWrite,73
.hmiAlarms.lowerStacker.safetyCircuitNotOk,BOOL,,,,Var,ReadWrite,74
.hmiAlarms.lowerStacker.systemFaultActive,BOOL,,,,Var,ReadWrite,75
.hmiAlarms.lowerStacker.systemNotEnabled,BOOL,,,,Var,ReadWrite,76
.hmiAlarms.lowerStacker.sheetConveyor1DriveNotOk,BOOL,,,,Var,ReadWrite,77
.hmiAlarms.lowerStacker.sheetConveyor2DriveNotOk,BOOL,,,,Var,ReadWrite,78
.hmiAlarms.lowerStacker.sheetConveyor3DriveNotOk,BOOL,,,,Var,ReadWrite,79
.hmiAlarms.lowerStacker.sheetConveyorGroupFault,BOOL,,,,Var,ReadWrite,80
.hmiAlarms.lowerStacker.synchronizedConveyorsNotRunning,BOOL,,,,Var,ReadWrite,81
.hmiAlarms.lowerStacker.sheetStackSeparationNotReady,BOOL,,,,Var,ReadWrite,82
.hmiAlarms.lowerStacker.sheetStackSeparationActive,BOOL,,,,Var,ReadWrite,83
.hmiAlarms.lowerStacker.sheetStackBrakeActive,BOOL,,,,Var,ReadWrite,84
.hmiAlarms.lowerStacker.sheetStackDischargeFault,BOOL,,,,Var,ReadWrite,85
.hmiAlarms.lowerStacker.sheetStackDischargeLastCycleNotOk,BOOL,,,,Var,ReadWrite,86
.hmiAlarms.lowerStacker.sheetStackDischargeTimeout,BOOL,,,,Var,ReadWrite,87
.hmiAlarms.lowerStacker.sheetStackDischargeManualSkip,BOOL,,,,Var,ReadWrite,88
.hmiAlarms.lowerStacker.sheetStackDischargeConveyorDriveNotOk,BOOL,,,,Var,ReadWrite,89
.hmiAlarms.lowerStacker.sheetStackDischargeConveyorFault,BOOL,,,,Var,ReadWrite,90
.hmiAlarms.lowerStacker.backstopDriveNotOk,BOOL,,,,Var,ReadWrite,91
.hmiAlarms.lowerStacker.backstopFault,BOOL,,,,Var,ReadWrite,92
.hmiAlarms.lowerStacker.backstopNotHomed,BOOL,,,,Var,ReadWrite,93
.hmiAlarms.lowerStacker.backstopNotInPosition,BOOL,,,,Var,ReadWrite,94
.hmiAlarms.lowerStacker.backstopSafeMaxLimitActive,BOOL,,,,Var,ReadWrite,95
.hmiAlarms.lowerStacker.backstopSafeMinLimitActive,BOOL,,,,Var,ReadWrite,96
.hmiAlarms.lowerStacker.backstopMaxLimitActive,BOOL,,,,Var,ReadWrite,97
.hmiAlarms.lowerStacker.backstopMinLimitActive,BOOL,,,,Var,ReadWrite,98
.hmiAlarms.lowerStacker.backstopManualInterventionActive,BOOL,,,,Var,ReadWrite,99
